0;9.623;0;0;274.05;ltr;F
810;9.303;0;0;274.15;ltr;F
1710;13.166;0;0;273.75;ltr;F
2610;6.263;0;0;273.65;ltr;F
3510;6.822;0;0;273.95;ltr;F
4410;7.02;0;0;273.75;ltr;F
5310;9.015;0;0;274.25;ltr;F
6210;4.827;0;0;273.75;ltr;F
7110;2.287;0;0;274.25;ltr;F
8010;3.484;0;0;274.45;ltr;F
8910;2.807;0;0;274.65;ltr;F
9810;2.492;0;0;274.75;ltr;F
10710;4.233;0;0;274.95;ltr;F
11610;7.667;0;0;274.95;ltr;F
12510;3.906;0;0;274.95;ltr;F
13410;9.573;0;0;274.95;ltr;F
14310;8.546;0;0;274.75;ltr;F
15210;11.547;0;0;274.75;ltr;F
16110;9.415;0;0;274.85;ltr;F
17010;2.25;0;0;274.85;ltr;F
17910;2.589;0;0;274.75;ltr;F
18810;4.718;0;0;274.65;ltr;F
19710;3.763;0;0;274.65;ltr;F
20610;2.812;0;0;274.65;ltr;F
21510;1.345;0;0;274.55;ltr;F
22410;0.69;0;0;274.45;ltr;F
23310;3.843;0;0;274.45;ltr;F
24210;6.212;0;0;274.45;ltr;F
25110;6.914;0;0;274.35;ltr;F
26010;4.082;0;0;274.45;ltr;F
26910;2.15;0;0;274.25;ltr;F
27810;6.099;0;0;274.25;ltr;F
28710;5.116;0;0;274.25;ltr;F
29610;4.342;0;0;274.25;ltr;F
30510;5.47;0;0;274.15;ltr;F
31410;5.842;0;0;274.15;ltr;F
32310;4.751;0;0;274.15;ltr;F
33210;6.303;0;0;274.15;ltr;F
34110;7.099;0;0;274.15;ltr;F
35010;7.309;0;0;274.25;ltr;F
35910;3.65;0;0;274.15;ltr;F
36810;4.789;0;0;274.25;ltr;F
37710;2.544;0;0;274.25;ltr;F
38610;5.557;0;0;274.25;ltr;F
39510;5.916;0;0;274.15;ltr;F
40410;4.679;0;0;274.05;ltr;F
41310;7.068;0;0;274.05;ltr;F
42210;2.958;0;0;274.05;ltr;F
43110;5.573;0;0;274.15;ltr;F
44010;6.375;0;0;274.25;ltr;F
